Instrument,Type,Area,Flight Line,Platform,l1_granule,Valid URL,Notes,Output(s),Output name(s)
AVIRIS Classic,Terrestrial,"Sierras, CA",f130612t01p00r05,1,https://popo.jpl.nasa.gov/avcl/y13_data/f130612t01p00r05.tar.gz,TRUE,,Corrected reflectance,SISTER_AVCL_20130612T010005_CORFL_CRID.tar.gz
AVIRIS Classic,Terrestrial,"Sierras, CA",f130612t01p00r06,1,https://popo.jpl.nasa.gov/avcl/y13_data/f130612t01p00r06.tar.gz,TRUE,,Corrected reflectance,SISTER_AVCL_20130612T010006_CORFL_CRID.tar.gz
AVIRIS Classic,Terrestrial,"Sierras, CA",f130612t01p00r07,1,https://popo.jpl.nasa.gov/avcl/y13_data/f130612t01p00r07.tar.gz,TRUE,,Corrected reflectance,SISTER_AVCL_20130612T010007_CORFL_CRID.tar.gz
AVIRIS Classic,Terrestrial,"Sierras, CA",f130612t01p00r08,1,https://popo.jpl.nasa.gov/avcl/y13_data/f130612t01p00r08.tar.gz,TRUE,,Corrected reflectance,SISTER_AVCL_20130612T010008_CORFL_CRID.tar.gz
AVIRIS Classic,Terrestrial,"Sierras, CA",f130612t01p00r09,1,https://popo.jpl.nasa.gov/avcl/y13_data/f130612t01p00r09.tar.gz,TRUE,,Corrected reflectance,SISTER_AVCL_20130612T010009_CORFL_CRID.tar.gz
AVIRIS Classic,Terrestrial,"Sierras, CA",f130612t01p00r10,1,https://popo.jpl.nasa.gov/avcl/y13_data/f130612t01p00r10.tar.gz,TRUE,,Corrected reflectance,SISTER_AVCL_20130612T010010_CORFL_CRID.tar.gz
AVIRIS Classic,Terrestrial,"Sierras, CA",f130612t01p00r11,1,https://popo.jpl.nasa.gov/avcl/y13_data/f130612t01p00r11.tar.gz,TRUE,,Corrected reflectance,SISTER_AVCL_20130612T010011_CORFL_CRID.tar.gz
AVIRIS Classic,Terrestrial,"Sierras, CA",f130612t01p00r12,1,https://popo.jpl.nasa.gov/avcl/y13_data/f130612t01p00r12.tar.gz,TRUE,,Corrected reflectance,SISTER_AVCL_20130612T010012_CORFL_CRID.tar.gz
AVIRIS Classic,Terrestrial,"Sierras, CA",f130612t01p00r13,1,https://popo.jpl.nasa.gov/avcl/y13_data/f130612t01p00r13.tar.gz,TRUE,,Corrected reflectance,SISTER_AVCL_20130612T010013_CORFL_CRID.tar.gz
AVIRIS Classic,Terrestrial,"Sierras, CA",f130612t01p00r14,1,https://popo.jpl.nasa.gov/avcl/y13_data/f130612t01p00r14.tar.gz,TRUE,,Corrected reflectance,SISTER_AVCL_20130612T010014_CORFL_CRID.tar.gz
AVIRIS Classic,Terrestrial,"Sierras, CA",f130612t01p00r15,1,https://popo.jpl.nasa.gov/avcl/y13_data/f130612t01p00r15.tar.gz,TRUE,,Corrected reflectance,SISTER_AVCL_20130612T010015_CORFL_CRID.tar.gz
AVIRIS Classic,Aquatic,Sacramento Bay Delta,f210326t01p00r07,1,https://popo.jpl.nasa.gov/avcl/y21_data/f210326t01p00r07.tar.gz,TRUE,,Corrected reflectance,SISTER_AVCL_20210326T010007_CORFL_CRID.tar.gz
AVIRIS Classic,Aquatic,Sacramento Bay Delta,f210326t01p00r08,1,https://popo.jpl.nasa.gov/avcl/y21_data/f210326t01p00r08.tar.gz,TRUE,,Corrected reflectance,SISTER_AVCL_20210326T010008_CORFL_CRID.tar.gz
AVIRIS Classic,Aquatic,Sacramento Bay Delta,f210326t01p00r09,1,https://popo.jpl.nasa.gov/avcl/y21_data/f210326t01p00r09.tar.gz,TRUE,,Corrected reflectance,SISTER_AVCL_20210326T010009_CORFL_CRID.tar.gz
AVIRIS Classic,Aquatic,Sacramento Bay Delta,f210326t01p00r10,1,https://popo.jpl.nasa.gov/avcl/y21_data/f210326t01p00r10.tar.gz,TRUE,,Corrected reflectance,SISTER_AVCL_20210326T010010_CORFL_CRID.tar.gz
AVIRIS Classic,Aquatic,Sacramento Bay Delta,f210326t01p00r11,1,https://popo.jpl.nasa.gov/avcl/y21_data/f210326t01p00r11.tar.gz,TRUE,,Corrected reflectance,SISTER_AVCL_20210326T010011_CORFL_CRID.tar.gz
AVIRIS Classic,Aquatic,Sacramento Bay Delta,f210326t01p00r12,1,https://popo.jpl.nasa.gov/avcl/y21_data/f210326t01p00r12.tar.gz,TRUE,,Corrected reflectance,SISTER_AVCL_20210326T010012_CORFL_CRID.tar.gz
AVIRIS Classic,Aquatic,Sacramento Bay Delta,f210326t01p00r14,1,https://popo.jpl.nasa.gov/avcl/y21_data/f210326t01p00r14.tar.gz,TRUE,,Corrected reflectance,SISTER_AVCL_20210326T010014_CORFL_CRID.tar.gz
AVIRIS Classic,Aquatic,Sacramento Bay Delta,f210326t01p00r15,1,https://popo.jpl.nasa.gov/avcl/y21_data/f210326t01p00r15.tar.gz,TRUE,,Corrected reflectance,SISTER_AVCL_20210326T010015_CORFL_CRID.tar.gz
AVIRIS Classic,Aquatic,Molokai,f170127t01p00r26,1,https://popo.jpl.nasa.gov/avcl/y17_data/f170127t01p00r26.tar.gz,TRUE,,Corrected reflectance,SISTER_AVCL_20170127T010026_CORFL_CRID.tar.gz
AVIRIS Classic,Aquatic,"Kaneohe Bay, Oahu",f180126t01p00r08,1,https://popo.jpl.nasa.gov/avcl/y18_data/f180126t01p00r08.tar.gz,TRUE,,Corrected reflectance,SISTER_AVCL_20180126T010008_CORFL_CRID.tar.gz
AVIRIS Classic,Aquatic,"Kaneohe Bay, Oahu",f180212t01p00r07,1,https://popo.jpl.nasa.gov/avcl/y18_data/f180212t01p00r07.tar.gz,TRUE,,Corrected reflectance,SISTER_AVCL_20180212T010007_CORFL_CRID.tar.gz
AVIRIS-NG,Terrestrial,"Daring Lake, AK",ang20190718t161449,2,https://data.ornldaac.earthdata.nasa.gov/protected/above/ABoVE_Airborne_AVIRIS_NG/data/ang20190718t161449.tar.gz,TRUE,Username and password required,Corrected reflectance,SISTER_AVNG_20190718T161449_CORFL_CRID.tar.gz
AVIRIS-NG,Terrestrial,"Daring Lake, AK",ang20190718t160729,2,https://data.ornldaac.earthdata.nasa.gov/protected/above/ABoVE_Airborne_AVIRIS_NG/data/ang20190718t160729.tar.gz,TRUE,Username and password required,Corrected reflectance,SISTER_AVNG_20190718T160729_CORFL_CRID.tar.gz
AVIRIS-NG,Terrestrial,"Cambridge Bay, AK",ang20190801t143347,2,https://data.ornldaac.earthdata.nasa.gov/protected/above/ABoVE_Airborne_AVIRIS_NG/data/ang20190801t143347.tar.gz,TRUE,Username and password required,Corrected reflectance,SISTER_AVNG_20190801T143347_CORFL_CRID.tar.gz
AVIRIS-NG,Terrestrial,"Cambridge Bay, AK",ang20190801t144718,2,https://data.ornldaac.earthdata.nasa.gov/protected/above/ABoVE_Airborne_AVIRIS_NG/data/ang20190801t144718.tar.gz,TRUE,Username and password required,Corrected reflectance,SISTER_AVNG_20190801T144718_CORFL_CRID.tar.gz
AVIRIS-NG,Terrestrial,"Cambridge Bay, AK",ang20190801t150124,2,https://data.ornldaac.earthdata.nasa.gov/protected/above/ABoVE_Airborne_AVIRIS_NG/data/ang20190801t150124.tar.gz,TRUE,Username and password required,Corrected reflectance,SISTER_AVNG_20190801T150124_CORFL_CRID.tar.gz
AVIRIS-NG,Terrestrial,"Cambridge Bay, AK",ang20190801t151711,2,https://data.ornldaac.earthdata.nasa.gov/protected/above/ABoVE_Airborne_AVIRIS_NG/data/ang20190801t151711.tar.gz,TRUE,Username and password required,Corrected reflectance,SISTER_AVNG_20190801T151711_CORFL_CRID.tar.gz
AVIRIS-NG,Terrestrial,"Cambridge Bay, AK",ang20190801t153402,2,https://data.ornldaac.earthdata.nasa.gov/protected/above/ABoVE_Airborne_AVIRIS_NG/data/ang20190801t153402.tar.gz,TRUE,Username and password required,Corrected reflectance,SISTER_AVNG_20190801T153402_CORFL_CRID.tar.gz
AVIRIS-NG,Terrestrial,"Cambridge Bay, AK",ang20190801t155049,2,https://data.ornldaac.earthdata.nasa.gov/protected/above/ABoVE_Airborne_AVIRIS_NG/data/ang20190801t155049.tar.gz,TRUE,Username and password required,Corrected reflectance,SISTER_AVNG_20190801T155049_CORFL_CRID.tar.gz
AVIRIS-NG,Terrestrial,"Cambridge Bay, AK",ang20190801t160747,2,https://data.ornldaac.earthdata.nasa.gov/protected/above/ABoVE_Airborne_AVIRIS_NG/data/ang20190801t160747.tar.gz,TRUE,Username and password required,Corrected reflectance,SISTER_AVNG_20190801T160747_CORFL_CRID.tar.gz
AVIRIS-NG,Terrestrial,"Cambridge Bay, AK",ang20190801t162339,2,https://data.ornldaac.earthdata.nasa.gov/protected/above/ABoVE_Airborne_AVIRIS_NG/data/ang20190801t162339.tar.gz,TRUE,Username and password required,Corrected reflectance,SISTER_AVNG_20190801T162339_CORFL_CRID.tar.gz
AVIRIS-NG,Snow/Ice,"Senator Beck, CO",ang20210429t185512,2,https://popo.jpl.nasa.gov/avng/y21/ang20210429t185512.tar.gz,TRUE,,Corrected reflectance,SISTER_AVNG_20210429T185512_CORFL_CRID.tar.gz
AVIRIS-NG,Snow/Ice,"Senator Beck, CO",ang20210429t185927,2,https://popo.jpl.nasa.gov/avng/y21/ang20210429t185927.tar.gz,TRUE,,Corrected reflectance,SISTER_AVNG_20210429T185927_CORFL_CRID.tar.gz
AVIRIS-NG,Snow/Ice,"Senator Beck, CO",ang20210429t190537,2,https://popo.jpl.nasa.gov/avng/y21/ang20210429t190537.tar.gz,TRUE,,Corrected reflectance,SISTER_AVNG_20210429T190537_CORFL_CRID.tar.gz
AVIRIS-NG,Snow/Ice,"Senator Beck, CO",ang20210429t191025,2,https://popo.jpl.nasa.gov/avng/y21/ang20210429t191025.tar.gz,TRUE,,Corrected reflectance,SISTER_AVNG_20210429T191025_CORFL_CRID.tar.gz
AVIRIS-NG,Geology,Cuprite,ang20140625t191627,2,https://avng.jpl.nasa.gov/avng/y14_data/ang20140625t191627.tar.gz,TRUE,,Corrected reflectance,SISTER_AVNG_20140625T191627_CORFL_CRID.tar.gz
AVIRIS-NG,Geology,Cuprite,ang20140625t192252,2,https://avng.jpl.nasa.gov/avng/y14_data/ang20140625t192252.tar.gz,TRUE,,Corrected reflectance,SISTER_AVNG_20140625T192252_CORFL_CRID.tar.gz
AVIRIS-NG,Geology,Cuprite,ang20140625t192942,2,https://avng.jpl.nasa.gov/avng/y14_data/ang20140625t192942.tar.gz,TRUE,,Corrected reflectance,SISTER_AVNG_20140625T192942_CORFL_CRID.tar.gz
AVIRIS-NG,Geology,Cuprite,ang20140625t193554,2,https://avng.jpl.nasa.gov/avng/y14_data/ang20140625t193554.tar.gz,TRUE,,Corrected reflectance,SISTER_AVNG_20140625T193554_CORFL_CRID.tar.gz
AVIRIS-NG,Geology,Cuprite,ang20140625t194212,2,https://avng.jpl.nasa.gov/avng/y14_data/ang20140625t194212.tar.gz,TRUE,,Corrected reflectance,SISTER_AVNG_20140625T194212_CORFL_CRID.tar.gz
AVIRIS-NG,Aquatic,Venice Lagoon,ang20210604t092319,2,https://popo.jpl.nasa.gov/avng/y21/ang20210604t092319.tar.gz,TRUE,,Corrected reflectance,SISTER_AVNG_20210604T092319_CORFL_CRID.tar.gz
AVIRIS-NG,Aquatic,Venice Lagoon,ang20210604t091613,2,https://popo.jpl.nasa.gov/avng/y21/ang20210604t091613.tar.gz,TRUE,,Corrected reflectance,SISTER_AVNG_20210604T091613_CORFL_CRID.tar.gz
AVIRIS-NG,Aquatic,Venice Lagoon,ang20210604t090931,2,https://popo.jpl.nasa.gov/avng/y21/ang20210604t090931.tar.gz,TRUE,,Corrected reflectance,SISTER_AVNG_20210604T090931_CORFL_CRID.tar.gz
AVIRIS-NG,Aquatic,Venice Lagoon,ang20210604t090201,2,https://popo.jpl.nasa.gov/avng/y21/ang20210604t090201.tar.gz,TRUE,,Corrected reflectance,SISTER_AVNG_20210604T090201_CORFL_CRID.tar.gz
AVIRIS-NG,Aquatic,Venice Lagoon,ang20210604t085450,2,https://popo.jpl.nasa.gov/avng/y21/ang20210604t085450.tar.gz,TRUE,,Corrected reflectance,SISTER_AVNG_20210604T085450_CORFL_CRID.tar.gz
AVIRIS-NG,Aquatic,Venice Lagoon,ang20210604t084754,2,https://popo.jpl.nasa.gov/avng/y21/ang20210604t084754.tar.gz,TRUE,,Corrected reflectance,SISTER_AVNG_20210604T084754_CORFL_CRID.tar.gz
AVIRIS-NG,Aquatic,Venice Lagoon,ang20210604t084117,2,https://popo.jpl.nasa.gov/avng/y21/ang20210604t084117.tar.gz,TRUE,,Corrected reflectance,SISTER_AVNG_20210604T084117_CORFL_CRID.tar.gz
AVIRIS-NG,Aquatic,Peace Athabasca Delta,ang20190716t170505,2,https://avng.jpl.nasa.gov/avng/y19_data/ang20190716t170505.tar.gz,TRUE,,Corrected reflectance,SISTER_AVNG_20190716T170505_CORFL_CRID.tar.gz
AVIRIS-NG,Aquatic,Peace Athabasca Delta,ang20190716t172106,2,https://avng.jpl.nasa.gov/avng/y19_data/ang20190716t172106.tar.gz,TRUE,,Corrected reflectance,SISTER_AVNG_20190716T172106_CORFL_CRID.tar.gz
AVIRIS-NG,Aquatic,Peace Athabasca Delta,ang20190716t184314,2,https://avng.jpl.nasa.gov/avng/y19_data/ang20190716t184314.tar.gz,TRUE,,Corrected reflectance,SISTER_AVNG_20190716T184314_CORFL_CRID.tar.gz
AVIRIS-NG,Aquatic,Peace Athabasca Delta,ang20190716t164941,2,https://avng.jpl.nasa.gov/avng/y19_data/ang20190716t164941.tar.gz,TRUE,,Corrected reflectance,SISTER_AVNG_20190716T164941_CORFL_CRID.tar.gz
AVIRIS-NG,Aquatic,Peace Athabasca Delta,ang20190715t185057,2,https://avng.jpl.nasa.gov/avng/y19_data/ang20190715t185057.tar.gz,TRUE,,Corrected reflectance,SISTER_AVNG_20190715T185057_CORFL_CRID.tar.gz
AVIRIS-NG,Aquatic,Yukon Flats,ang20180722t212222,2,https://avng.jpl.nasa.gov/avng/y18_data/ang20180722t212222.tar.gz,TRUE,,Corrected reflectance,SISTER_AVNG_20180722T212222_CORFL_CRID.tar.gz
AVIRIS-NG,Aquatic,Yukon Flats,ang20180722t214026,2,https://avng.jpl.nasa.gov/avng/y18_data/ang20180722t214026.tar.gz,TRUE,,Corrected reflectance,SISTER_AVNG_20180722T214026_CORFL_CRID.tar.gz
AVIRIS-NG,Aquatic,Yukon Flats,ang20180722t215812,2,https://avng.jpl.nasa.gov/avng/y18_data/ang20180722t215812.tar.gz,TRUE,,Corrected reflectance,SISTER_AVNG_20180722T215812_CORFL_CRID.tar.gz
AVIRIS-NG,Aquatic,Yukon Flats,ang20180722t221648,2,https://avng.jpl.nasa.gov/avng/y18_data/ang20180722t221648.tar.gz,TRUE,,Corrected reflectance,SISTER_AVNG_20180722T221648_CORFL_CRID.tar.gz
AVIRIS-NG,Aquatic,Yukon Flats,ang20180722t205755,2,https://avng.jpl.nasa.gov/avng/y18_data/ang20180722t205755.tar.gz,TRUE,,Corrected reflectance,SISTER_AVNG_20180722T205755_CORFL_CRID.tar.gz
AVIRIS-NG,Aquatic,Yukon Flats,ang20180722t204801,2,https://avng.jpl.nasa.gov/avng/y18_data/ang20180722t204801.tar.gz,TRUE,,Corrected reflectance,SISTER_AVNG_20180722T204801_CORFL_CRID.tar.gz
AVIRIS-NG,Aquatic,Yukon Flats,ang20180722t203748,2,https://avng.jpl.nasa.gov/avng/y18_data/ang20180722t203748.tar.gz,TRUE,,Corrected reflectance,SISTER_AVNG_20180722T203748_CORFL_CRID.tar.gz
